user_id,touchpoint_order,total_touchpoints,channel,touchpoint_date,device,session_duration_sec,pages_viewed,converted,conversion_date,order_value
1000,1,5,Facebook,2024-04-12,Desktop,23,1,0,,
1000,2,5,Email,2024-04-22,Desktop,64,1,0,,
1000,3,5,Affiliate1,2024-04-23,Tablet,87,1,0,,
1000,4,5,Google,2024-05-01,Desktop,129,2,0,,
1000,5,5,Facebook,2024-05-14,Desktop,47,4,0,,
1001,1,3,Facebook,2024-08-29,Mobile,44,2,0,,
1001,2,3,Facebook,2024-09-05,Desktop,59,2,0,,
1001,3,3,Facebook,2024-09-10,Desktop,23,4,0,,
1002,1,3,Google,2025-12-02,Mobile,65,2,0,,
1002,2,3,Facebook,2025-12-16,Mobile,64,2,0,,
1002,3,3,Direct,2025-12-30,Desktop,162,1,0,,
1003,1,4,Google,2024-07-19,Mobile,104,5,0,,
1003,2,4,Direct,2024-07-23,Desktop,75,1,0,,
1003,3,4,Google,2024-08-06,Mobile,105,1,0,,
1003,4,4,Google,2024-08-12,Desktop,54,5,0,,
1004,1,3,Facebook,2025-07-10,Mobile,52,1,0,,
1004,2,3,Google,2025-07-23,Desktop,70,1,0,,
1004,3,3,Facebook,2025-08-05,Mobile,57,1,0,,
1005,1,5,Facebook,2025-11-07,Mobile,36,2,1,2025-11-29,94.18
1005,2,5,Direct,2025-11-16,Mobile,92,3,1,2025-11-29,94.18
1005,3,5,Direct,2025-11-16,Mobile,116,6,1,2025-11-29,94.18
1005,4,5,Facebook,2025-11-23,Desktop,40,3,1,2025-11-29,94.18
1005,5,5,Google,2025-11-23,Mobile,105,4,1,2025-11-29,94.18
1006,1,4,Email,2025-10-01,Desktop,23,2,0,,
1006,2,4,Direct,2025-10-10,Mobile,152,5,0,,
1006,3,4,Google,2025-10-18,Desktop,99,1,0,,
1006,4,4,Email,2025-10-23,Desktop,52,3,0,,
1007,1,5,Facebook,2024-06-11,Desktop,31,5,0,,
1007,2,5,Affiliate1,2024-06-13,Mobile,30,4,0,,
1007,3,5,Google,2024-06-17,Desktop,34,2,0,,
1007,4,5,Facebook,2024-06-17,Tablet,44,3,0,,
1007,5,5,Direct,2024-06-21,Mobile,98,3,0,,
1008,1,5,Google,2025-07-19,Mobile,104,5,1,2025-08-23,370.61
1008,2,5,Facebook,2025-07-19,Desktop,12,1,1,2025-08-23,370.61
1008,3,5,Direct,2025-07-26,Mobile,142,7,1,2025-08-23,370.61
1008,4,5,Google,2025-07-27,Desktop,50,4,1,2025-08-23,370.61
1008,5,5,Google,2025-08-10,Mobile,65,4,1,2025-08-23,370.61
1009,1,8,Google,2025-10-17,Mobile,100,3,0,,
1009,2,8,Facebook,2025-10-21,Mobile,77,1,0,,
1009,3,8,Facebook,2025-10-30,Mobile,32,3,0,,
1009,4,8,Email,2025-11-11,Desktop,16,1,0,,
1009,5,8,Facebook,2025-11-15,Mobile,78,1,0,,
1009,6,8,Facebook,2025-11-29,Desktop,40,1,0,,
1009,7,8,Google,2025-12-03,Mobile,139,4,0,,
1009,8,8,Facebook,2025-12-17,Tablet,102,8,0,,
1010,1,6,Affiliate1,2025-11-21,Desktop,56,2,0,,
1010,2,6,Facebook,2025-12-02,Mobile,50,1,0,,
1010,3,6,Google,2025-12-09,Desktop,60,4,0,,
1010,4,6,Email,2025-12-19,Desktop,26,2,0,,
1010,5,6,Email,2025-12-19,Mobile,47,3,0,,
1010,6,6,Google,2025-12-30,Desktop,66,6,0,,
1011,1,3,Direct,2024-09-21,Tablet,132,4,0,,
1011,2,3,Facebook,2024-10-01,Tablet,38,3,0,,
1011,3,3,Direct,2024-10-03,Mobile,131,1,0,,
1012,1,6,Google,2024-09-09,Mobile,108,2,1,2024-10-14,33.1
1012,2,6,Google,2024-09-16,Mobile,72,5,1,2024-10-14,33.1
1012,3,6,Google,2024-09-28,Desktop,54,3,1,2024-10-14,33.1
1012,4,6,Facebook,2024-10-01,Mobile,23,4,1,2024-10-14,33.1
1012,5,6,Facebook,2024-10-01,Mobile,69,3,1,2024-10-14,33.1
1012,6,6,Direct,2024-10-05,Mobile,106,7,1,2024-10-14,33.1
1013,1,3,Facebook,2025-01-07,Mobile,40,2,0,,
1013,2,3,Facebook,2025-01-15,Mobile,76,1,0,,
1013,3,3,Direct,2025-01-17,Tablet,48,5,0,,
1014,1,6,Direct,2025-01-08,Mobile,37,6,0,,
1014,2,6,Affiliate1,2025-01-13,Mobile,84,5,0,,
1014,3,6,Google,2025-01-17,Mobile,83,4,0,,
1014,4,6,Google,2025-01-26,Mobile,96,4,0,,
1014,5,6,Google,2025-02-05,Mobile,127,1,0,,
1014,6,6,Direct,2025-02-16,Desktop,162,3,0,,
1015,1,3,Affiliate1,2024-11-30,Desktop,54,3,1,2025-01-02,32.15
1015,2,3,Facebook,2024-12-12,Desktop,59,2,1,2025-01-02,32.15
1015,3,3,Google,2024-12-26,Desktop,97,5,1,2025-01-02,32.15
1016,1,2,Facebook,2025-11-12,Mobile,19,3,0,,
1016,2,2,Google,2025-11-20,Desktop,73,3,0,,
1017,1,4,Direct,2025-09-16,Mobile,118,3,0,,
1017,2,4,Facebook,2025-09-26,Desktop,46,3,0,,
1017,3,4,Google,2025-10-05,Mobile,89,3,0,,
1017,4,4,Facebook,2025-10-18,Desktop,36,4,0,,
1018,1,5,Google,2025-09-14,Mobile,51,5,0,,
1018,2,5,Facebook,2025-09-19,Mobile,20,2,0,,
1018,3,5,Facebook,2025-10-02,Desktop,45,2,0,,
1018,4,5,Google,2025-10-03,Desktop,53,1,0,,
1018,5,5,Google,2025-10-08,Mobile,96,4,0,,
1019,1,4,Facebook,2025-12-24,Mobile,48,2,0,,
1019,2,4,Direct,2026-01-03,Mobile,36,3,0,,
1019,3,4,Email,2026-01-10,Mobile,52,4,0,,
1019,4,4,Facebook,2026-01-23,Desktop,34,3,0,,
1020,1,6,Facebook,2025-07-25,Desktop,72,1,1,2025-09-03,47.45
1020,2,6,Facebook,2025-07-29,Mobile,58,3,1,2025-09-03,47.45
1020,3,6,Google,2025-08-05,Mobile,87,3,1,2025-09-03,47.45
1020,4,6,Google,2025-08-05,Mobile,6,3,1,2025-09-03,47.45
1020,5,6,Affiliate1,2025-08-19,Mobile,86,2,1,2025-09-03,47.45
1020,6,6,Email,2025-08-19,Desktop,30,3,1,2025-09-03,47.45
1021,1,4,Google,2024-08-03,Mobile,5,1,0,,
1021,2,4,Affiliate1,2024-08-05,Mobile,46,1,0,,
1021,3,4,Direct,2024-08-15,Mobile,100,3,0,,
1021,4,4,Email,2024-08-16,Mobile,14,6,0,,
1022,1,5,Direct,2024-02-20,Desktop,72,6,1,2024-03-31,27.52
1022,2,5,Google,2024-02-24,Desktop,75,3,1,2024-03-31,27.52
1022,3,5,Google,2024-02-27,Desktop,38,4,1,2024-03-31,27.52
1022,4,5,Google,2024-03-05,Mobile,38,1,1,2024-03-31,27.52
1022,5,5,Affiliate1,2024-03-17,Desktop,49,1,1,2024-03-31,27.52
1023,1,3,Google,2026-02-07,Mobile,61,5,0,,
1023,2,3,Google,2026-02-09,Mobile,116,3,0,,
1023,3,3,Google,2026-02-09,Mobile,53,8,0,,
1024,1,2,Email,2024-11-23,Mobile,47,2,1,2024-12-03,168.59
1024,2,2,Email,2024-11-30,Desktop,29,2,1,2024-12-03,168.59
1025,1,2,Facebook,2025-11-03,Mobile,14,3,0,,
1025,2,2,Google,2025-11-04,Mobile,136,5,0,,
1026,1,2,Google,2024-10-06,Tablet,37,5,0,,
1026,2,2,Direct,2024-10-11,Tablet,114,2,0,,
1027,1,2,Google,2024-05-07,Mobile,144,2,0,,
1027,2,2,Google,2024-05-11,Mobile,102,5,0,,
1028,1,3,Google,2025-09-25,Tablet,72,6,1,2025-10-25,419.38
1028,2,3,Facebook,2025-10-02,Mobile,66,2,1,2025-10-25,419.38
1028,3,3,Direct,2025-10-15,Mobile,96,4,1,2025-10-25,419.38
1029,1,5,Affiliate1,2025-05-12,Mobile,16,1,0,,
1029,2,5,Direct,2025-05-22,Desktop,174,3,0,,
1029,3,5,Email,2025-05-24,Desktop,53,2,0,,
1029,4,5,Affiliate1,2025-06-07,Mobile,78,1,0,,
1029,5,5,Direct,2025-06-13,Desktop,26,2,0,,
1030,1,5,Email,2025-12-27,Mobile,31,3,0,,
1030,2,5,Facebook,2026-01-03,Mobile,48,2,0,,
1030,3,5,Email,2026-01-17,Mobile,28,3,0,,
1030,4,5,Facebook,2026-01-28,Mobile,46,5,0,,
1030,5,5,Google,2026-02-01,Desktop,114,2,0,,
1031,1,5,Facebook,2025-01-23,Mobile,59,3,0,,
1031,2,5,Google,2025-02-06,Mobile,65,4,0,,
1031,3,5,Direct,2025-02-11,Desktop,159,3,0,,
1031,4,5,Affiliate1,2025-02-23,Desktop,59,2,0,,
1031,5,5,Facebook,2025-03-04,Tablet,53,2,0,,
1032,1,3,Google,2025-07-26,Mobile,96,5,0,,
1032,2,3,Affiliate1,2025-07-29,Mobile,47,2,0,,
1032,3,3,Facebook,2025-08-09,Mobile,55,3,0,,
1033,1,4,Facebook,2024-06-24,Mobile,35,4,1,2024-08-02,89.56
1033,2,4,Affiliate1,2024-07-01,Mobile,59,4,1,2024-08-02,89.56
1033,3,4,Email,2024-07-11,Desktop,42,3,1,2024-08-02,89.56
1033,4,4,Direct,2024-07-21,Mobile,161,1,1,2024-08-02,89.56
1034,1,5,Facebook,2025-12-18,Mobile,37,1,0,,
